id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
167,2024,Kolkata,2020-06-15,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,tie,0,Chennai Super Kings,29,3,MA Chidambaram Stadium
168,2024,Jaipur,2020-06-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,52,5,M Chinnaswamy Stadium
169,2023,Chennai,2020-06-17,Chennai Super Kings,Rajasthan Royals,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,96,6,MA Chidambaram Stadium
170,2021,Jaipur,2020-06-18,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,32,8,M Chinnaswamy Stadium
171,2023,Bangalore,2020-06-19,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,8,7,M Chinnaswamy Stadium
172,2020,Kolkata,2020-06-20,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,31,8,M Chinnaswamy Stadium
173,2020,Mumbai,2020-06-21,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,44,1,Eden Gardens
174,2022,Mohali,2020-06-22,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,27,3,Wankhede Stadium
175,2023,Hyderabad,2020-06-23,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,22,1,Eden Gardens
176,2024,Chennai,2020-06-24,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,normal,0,Chennai Super Kings,8,4,MA Chidambaram Stadium
177,2022,Jaipur,2020-06-25,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,57,5,MA Chidambaram Stadium
178,2023,Kolkata,2020-06-26,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,44,4,Wankhede Stadium
179,2023,Kolkata,2020-06-27,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,91,4,M Chinnaswamy Stadium
180,2020,Chennai,2020-06-28,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,tie,0,Mumbai Indians,86,5,MA Chidambaram Stadium
181,2024,Mohali,2020-06-29,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,tie,0,Chennai Super Kings,18,2,Wankhede Stadium
182,2022,Mohali,2020-06-30,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Mumbai Indians,54,1,Eden Gardens
183,2024,Jaipur,2020-07-01,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,40,2,Eden Gardens
184,2023,Jaipur,2020-07-02,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,field,normal,0,Chennai Super Kings,27,8,M Chinnaswamy Stadium
185,2023,Delhi,2020-07-03,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,56,7,MA Chidambaram Stadium
186,2021,Kolkata,2020-07-04,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,12,6,M Chinnaswamy Stadium
187,2023,Delhi,2020-07-05,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,80,6,Wankhede Stadium
188,2021,Jaipur,2020-07-06,Mumbai Indians,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,11,1,MA Chidambaram Stadium
189,2021,Hyderabad,2020-07-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,5,3,Wankhede Stadium
190,2020,Bangalore,2020-07-08,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,field,tie,0,Chennai Super Kings,55,9,Eden Gardens
191,2021,Mumbai,2020-07-09,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,14,7,Wankhede Stadium
192,2024,Mumbai,2020-07-10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,39,4,Eden Gardens
193,2022,Kolkata,2020-07-11,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,tie,1,Kolkata Knight Riders,43,1,Eden Gardens
194,2020,Mohali,2020-07-12,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,34,9,M Chinnaswamy Stadium
195,2020,Mohali,2020-07-13,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,46,6,Eden Gardens
196,2020,Bangalore,2020-07-14,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,44,1,Eden Gardens
197,2023,Hyderabad,2020-07-15,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,57,3,Eden Gardens
198,2024,Mumbai,2020-07-16,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,field,tie,0,Chennai Super Kings,4,8,Wankhede Stadium
199,2021,Delhi,2020-07-17,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Mumbai Indians,26,4,Wankhede Stadium
200,2021,Hyderabad,2020-07-18,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,91,7,MA Chidambaram Stadium
201,2024,Delhi,2020-07-19,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,1,Mumbai Indians,53,7,Eden Gardens
202,2020,Delhi,2020-07-20,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,14,7,M Chinnaswamy Stadium
203,2024,Mohali,2020-07-21,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Mumbai Indians,76,5,M Chinnaswamy Stadium
204,2022,Kolkata,2020-07-22,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,51,4,Wankhede Stadium
205,2024,Kolkata,2020-07-23,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Royal Challengers Bangalore,22,4,Wankhede Stadium
206,2024,Bangalore,2020-07-24,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,50,3,Eden Gardens
207,2021,Bangalore,2020-07-25,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,71,2,MA Chidambaram Stadium
208,2021,Chennai,2020-07-26,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,42,7,M Chinnaswamy Stadium
209,2020,Hyderabad,2020-07-27,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,40,5,Eden Gardens
210,2021,Jaipur,2020-07-28,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,normal,1,Chennai Super Kings,96,2,M Chinnaswamy Stadium
211,2020,Mohali,2020-07-29,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,normal,0,Kolkata Knight Riders,39,7,M Chinnaswamy Stadium
212,2021,Chennai,2020-07-30,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,35,4,Wankhede Stadium
213,2023,Bangalore,2020-07-31,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,90,2,Eden Gardens
214,2024,Hyderabad,2020-08-01,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,82,5,M Chinnaswamy Stadium
215,2022,Mohali,2020-08-02,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,72,7,Wankhede Stadium
216,2024,Bangalore,2020-08-03,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,tie,0,Chennai Super Kings,12,8,Wankhede Stadium
217,2020,Mohali,2020-08-04,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,45,3,M Chinnaswamy Stadium
218,2021,Jaipur,2020-08-05,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Mumbai Indians,20,1,Eden Gardens
219,2020,Chennai,2020-08-06,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,tie,0,Chennai Super Kings,34,7,Wankhede Stadium
220,2021,Hyderabad,2020-08-07,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,tie,1,Mumbai Indians,47,9,MA Chidambaram Stadium
221,2024,Chennai,2020-08-08,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,22,4,Wankhede Stadium
222,2021,Bangalore,2020-08-09,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Mumbai Indians,16,7,Eden Gardens
223,2021,Bangalore,2020-08-10,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,71,0,Wankhede Stadium
224,2022,Kolkata,2020-08-11,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,tie,0,Mumbai Indians,46,0,M Chinnaswamy Stadium
225,2021,Mumbai,2020-08-12,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Mumbai Indians,72,7,MA Chidambaram Stadium
226,2023,Mumbai,2020-08-13,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,81,3,Wankhede Stadium
227,2024,Chennai,2020-08-14,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,14,1,Eden Gardens
228,2022,Delhi,2020-08-15,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,32,4,MA Chidambaram Stadium
229,2022,Chennai,2020-08-16,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,69,4,Eden Gardens
230,2020,Mumbai,2020-08-17,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,74,0,M Chinnaswamy Stadium
231,2021,Delhi,2020-08-18,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Mumbai Indians,55,5,Eden Gardens
232,2024,Jaipur,2020-08-19,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,1,Chennai Super Kings,61,1,M Chinnaswamy Stadium
233,2020,Mohali,2020-08-20,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,1,Kolkata Knight Riders,23,3,M Chinnaswamy Stadium
234,2022,Mohali,2020-08-21,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Mumbai Indians,49,4,Eden Gardens
235,2023,Hyderabad,2020-08-22,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,normal,1,Mumbai Indians,92,7,MA Chidambaram Stadium
236,2024,Mumbai,2020-08-23,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,1,Mumbai Indians,44,3,Eden Gardens
237,2023,Bangalore,2020-08-24,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,26,3,Eden Gardens
238,2021,Bangalore,2020-08-25,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,tie,1,Mumbai Indians,30,3,M Chinnaswamy Stadium
239,2022,Mohali,2020-08-26,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Chennai Super Kings,8,7,M Chinnaswamy Stadium
240,2022,Kolkata,2020-08-27,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,tie,0,Chennai Super Kings,38,9,Eden Gardens
241,2022,Bangalore,2020-08-28,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,6,Eden Gardens
242,2023,Mumbai,2020-08-29,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Kolkata Knight Riders,98,3,Wankhede Stadium
243,2023,Kolkata,2020-08-30,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,bat,normal,0,Mumbai Indians,67,3,Wankhede Stadium
244,2021,Hyderabad,2020-08-31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,99,5,Wankhede Stadium
245,2023,Mumbai,2020-09-01,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,bat,tie,0,Chennai Super Kings,94,4,M Chinnaswamy Stadium
246,2020,Delhi,2020-09-02,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,51,9,MA Chidambaram Stadium
247,2021,Bangalore,2020-09-03,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,22,4,Eden Gardens
248,2022,Mumbai,2020-09-04,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,1,Kolkata Knight Riders,40,9,MA Chidambaram Stadium
249,2022,Hyderabad,2020-09-05,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,1,Chennai Super Kings,35,7,MA Chidambaram Stadium
250,2022,Hyderabad,2020-09-06,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,75,7,MA Chidambaram Stadium
251,2020,Mohali,2020-09-07,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,1,7,MA Chidambaram Stadium
252,2022,Kolkata,2020-09-08,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,10,7,MA Chidambaram Stadium
253,2022,Mohali,2020-09-09,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Kolkata Knight Riders,60,7,Wankhede Stadium
254,2022,Hyderabad,2020-09-10,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,57,2,MA Chidambaram Stadium
255,2021,Hyderabad,2020-09-11,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,51,2,MA Chidambaram Stadium
256,2024,Hyderabad,2020-09-12,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,99,0,Eden Gardens
257,2024,Jaipur,2020-09-13,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,95,6,Wankhede Stadium
258,2020,Bangalore,2020-09-14,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,62,5,Eden Gardens
259,2021,Jaipur,2020-09-15,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,80,2,MA Chidambaram Stadium
260,2024,Hyderabad,2020-09-16,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,28,0,Eden Gardens
261,2022,Chennai,2020-09-17,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,field,tie,1,Chennai Super Kings,21,4,Wankhede Stadium
262,2020,Delhi,2020-09-18,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,10,2,M Chinnaswamy Stadium
263,2021,Hyderabad,2020-09-19,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,27,6,Eden Gardens
264,2023,Delhi,2020-09-20,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,86,3,MA Chidambaram Stadium
265,2020,Bangalore,2020-09-21,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,25,0,Eden Gardens
266,2022,Hyderabad,2020-09-22,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,tie,0,Chennai Super Kings,60,2,M Chinnaswamy Stadium
267,2023,Delhi,2020-09-23,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,tie,0,Mumbai Indians,89,9,M Chinnaswamy Stadium
268,2020,Mohali,2020-09-24,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,17,4,Eden Gardens
269,2021,Bangalore,2020-09-25,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,80,5,MA Chidambaram Stadium
270,2020,Bangalore,2020-09-26,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,normal,0,Kolkata Knight Riders,57,0,Wankhede Stadium
271,2022,Hyderabad,2020-09-27,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,1,Kolkata Knight Riders,58,2,Wankhede Stadium
272,2022,Jaipur,2020-09-28,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,16,7,M Chinnaswamy Stadium
273,2024,Jaipur,2020-09-29,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,13,6,MA Chidambaram Stadium
274,2023,Hyderabad,2020-09-30,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,17,4,Eden Gardens
275,2022,Hyderabad,2020-10-01,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Mumbai Indians,15,4,M Chinnaswamy Stadium
276,2023,Hyderabad,2020-10-02,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,field,tie,0,Chennai Super Kings,68,4,MA Chidambaram Stadium
277,2022,Hyderabad,2020-10-03,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,39,2,Eden Gardens
278,2020,Mumbai,2020-10-04,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,12,4,Wankhede Stadium
279,2024,Chennai,2020-10-05,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,43,1,M Chinnaswamy Stadium
280,2021,Chennai,2020-10-06,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,1,Royal Challengers Bangalore,13,3,Eden Gardens
281,2023,Chennai,2020-10-07,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Mumbai Indians,63,2,MA Chidambaram Stadium
282,2022,Jaipur,2020-10-08,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Mumbai Indians,93,2,Wankhede Stadium
283,2020,Bangalore,2020-10-09,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Mumbai Indians,77,2,Eden Gardens
284,2020,Mumbai,2020-10-10,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,tie,0,Kolkata Knight Riders,83,5,M Chinnaswamy Stadium
285,2022,Mumbai,2020-10-11,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,66,6,M Chinnaswamy Stadium
286,2023,Kolkata,2020-10-12,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,12,9,MA Chidambaram Stadium
287,2021,Chennai,2020-10-13,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,73,8,M Chinnaswamy Stadium
288,2024,Mohali,2020-10-14,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,43,4,Eden Gardens
289,2020,Chennai,2020-10-15,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,37,6,Eden Gardens
290,2022,Jaipur,2020-10-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,31,8,MA Chidambaram Stadium
291,2023,Hyderabad,2020-10-17,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,85,4,MA Chidambaram Stadium
292,2023,Kolkata,2020-10-18,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,9,5,Wankhede Stadium
293,2022,Hyderabad,2020-10-19,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,43,2,Wankhede Stadium
294,2021,Chennai,2020-10-20,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Chennai Super Kings,62,1,Wankhede Stadium
295,2022,Delhi,2020-10-21,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,49,6,MA Chidambaram Stadium
296,2020,Hyderabad,2020-10-22,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Mumbai Indians,68,0,M Chinnaswamy Stadium
297,2022,Mumbai,2020-10-23,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,1,Mumbai Indians,6,1,Wankhede Stadium
298,2024,Delhi,2020-10-24,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,36,9,Wankhede Stadium
299,2021,Mohali,2020-10-25,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,field,normal,0,Mumbai Indians,95,8,Wankhede Stadium
300,2023,Bangalore,2020-10-26,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Chennai Super Kings,23,8,M Chinnaswamy Stadium
301,2024,Delhi,2020-10-27,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,normal,1,Kolkata Knight Riders,55,0,M Chinnaswamy Stadium
302,2022,Kolkata,2020-10-28,Mumbai Indians,Punjab Kings,Chennai Super Kings,field,normal,1,Kolkata Knight Riders,33,4,M Chinnaswamy Stadium
303,2023,Hyderabad,2020-10-29,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Chennai Super Kings,39,0,Wankhede Stadium
304,2023,Jaipur,2020-10-30,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,21,8,Eden Gardens
305,2023,Bangalore,2020-10-31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,1,Royal Challengers Bangalore,25,9,Eden Gardens
306,2020,Bangalore,2020-11-01,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,1,Royal Challengers Bangalore,64,7,M Chinnaswamy Stadium
307,2024,Mumbai,2020-11-02,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,31,8,M Chinnaswamy Stadium
308,2020,Kolkata,2020-11-03,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,tie,0,Chennai Super Kings,58,4,M Chinnaswamy Stadium
309,2020,Jaipur,2020-11-04,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,field,normal,1,Chennai Super Kings,74,1,Wankhede Stadium
310,2021,Chennai,2020-11-05,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,99,8,Eden Gardens
311,2020,Bangalore,2020-11-06,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,33,1,M Chinnaswamy Stadium
312,2020,Hyderabad,2020-11-07,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,1,9,MA Chidambaram Stadium
313,2024,Mohali,2020-11-08,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,14,4,MA Chidambaram Stadium
314,2020,Kolkata,2020-11-09,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,49,4,M Chinnaswamy Stadium
315,2020,Chennai,2020-11-10,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,bat,tie,0,Mumbai Indians,7,5,MA Chidambaram Stadium
316,2024,Jaipur,2020-11-11,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,55,9,Eden Gardens
317,2021,Jaipur,2020-11-12,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,18,8,Wankhede Stadium
318,2021,Mumbai,2020-11-13,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,67,7,M Chinnaswamy Stadium
319,2022,Mumbai,2020-11-14,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,8,8,M Chinnaswamy Stadium
320,2022,Mohali,2020-11-15,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,30,5,M Chinnaswamy Stadium
321,2021,Mohali,2020-11-16,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,90,5,Eden Gardens
322,2023,Kolkata,2020-11-17,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Chennai Super Kings,42,7,MA Chidambaram Stadium
323,2024,Bangalore,2020-11-18,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,79,4,M Chinnaswamy Stadium
324,2022,Delhi,2020-11-19,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,tie,1,Royal Challengers Bangalore,14,0,Wankhede Stadium
325,2020,Hyderabad,2020-11-20,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,29,9,Wankhede Stadium
326,2024,Jaipur,2020-11-21,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Mumbai Indians,25,5,M Chinnaswamy Stadium
327,2020,Hyderabad,2020-11-22,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Kolkata Knight Riders,2,4,Eden Gardens
328,2024,Delhi,2020-11-23,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,43,1,MA Chidambaram Stadium
329,2021,Delhi,2020-11-24,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,83,3,M Chinnaswamy Stadium
330,2020,Mumbai,2020-11-25,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,0,Mumbai Indians,89,1,M Chinnaswamy Stadium
331,2021,Bangalore,2020-11-26,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,85,2,Eden Gardens
332,2020,Mumbai,2020-11-27,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Mumbai Indians,35,1,M Chinnaswamy Stadium
